Detected 11 CIV lines:
--------------------------------------------------------------------------
Redshift         EW_limit         Power_Rating
    1.8611   0.0274577543391   45.5178690507
   2.02124   0.0589826177249   5.17347460682
  2.397035   0.0225357991831   9.91736329522
   2.40179   0.0243246817727   38.5896035222
  2.403665   0.0237866976332   48.7707891447
  2.421305   0.0283403547656   9.91299546487
   2.46617   0.0220100821837   7.75353512833
   2.46695   0.0227551582663   13.0381817098
  2.467595   0.0226091019174   9.03334041739
   2.46863   0.0222826432622   31.1300268261
  2.531105   0.0127021868052   13.0785832579
--------------------------------------------------------------------------
Detected 4 MgII lines:
--------------------------------------------------------------------------
Redshift         EW_limit         Power_Rating
  0.883105   0.022467544233   26.3813903768
  1.022845   0.0213264780161   39.0460074827
  1.023445   0.0213602350371   53.1690038077
  2.156185   0.076028868665   8.4635966389
--------------------------------------------------------------------------
